,GTUSD5Y Govt,GTEUR5Y Govt,GTJPY5Y Govt,GTCNY5Y Govt,GTAUD5Y Govt
2007-01-05,0.08410450976219878,0.1084672866379562,0.975836733787194,-0.006970194027802754,0.16986866854666316
2007-01-08,0.08429166777513135,0.10782296904707657,0.9764031879590972,-0.00561156611059183,0.16695642233427027
2007-01-09,0.0906477090099854,0.1120576115950406,0.9756474745271696,-0.014080757365884105,0.16474168341866421
2007-01-10,0.0885415195796909,0.10967665263613682,0.9753469598638222,-0.020790109866764443,0.16851560875236046
2007-01-11,0.09022621467988937,0.11450935671017227,0.9744927859837285,-0.023482864293285145,0.16899468204833082
2007-01-12,0.08903550746535054,0.11540896186740013,0.9746643780316332,-0.02511887022787388,0.1677851080571861
2007-01-15,0.09076052405453322,0.11641810514079437,0.9744266863837138,-0.02162576243605658,0.16803068568297028
2007-01-16,0.09089824404645083,0.11641966445425372,0.974359774050964,-0.02264302922585225,0.16820908089773778
2007-01-17,0.09052200821444586,0.1157535315326468,0.974387761449417,-0.02315661413774382,0.16863910437918345
2007-01-18,0.08564539904102311,0.11513990656156581,0.9747259420058169,-0.02230553722164217,0.16976297750164987
2007-01-19,0.08030490629805132,0.11509997800678216,0.9751485350501758,-0.0392547319414741,0.16687575527019508
2007-01-22,0.0759280259451628,0.11605363446547405,0.9758259410042482,-0.03721401704842818,0.16475842497947532
2007-01-23,0.07602328658668289,0.11718235835162844,0.9757634686338272,-0.037530194354953354,0.16421294887758028
2007-01-24,0.07337909432539387,0.11544488158636584,0.9762766684045181,-0.038272694474827076,0.1634229341864407
2007-01-25,0.07404474430800702,0.11737952997797552,0.9766818437789376,-0.03848370714685086,0.15921998021392256
2007-01-26,0.07580170894703951,0.11940634989383038,0.9761845613402065,-0.035046448443956144,0.1607223480983058
2007-01-29,0.07561693430511782,0.11943720039118731,0.9763074794880205,-0.03467723071934181,0.16011879831674258
2007-01-30,0.07597644801275152,0.11983665740731031,0.9760747114058629,-0.03345333706517429,0.16132509687576083
2007-01-31,0.07482932649707817,0.1170426306513035,0.9763558777143438,-0.03481446397489571,0.16192204191218176
2007-02-01,0.075996187837073,0.11737819834963933,0.9762711190193009,-0.03509526993695705,0.16158577345570543
2007-02-02,0.07586286395931394,0.11676941747911283,0.9766353604730099,-0.03050817575770547,0.16081776300884795
2007-02-05,0.0737828931033715,0.1145074141098737,0.9768893025605293,-0.029240091239295312,0.16210010612669953
2007-02-06,0.07409011391411953,0.11460372377375397,0.9767088405943255,-0.02947760746067103,0.1629341980084728
2007-02-07,0.07529420076079826,0.11369757434359624,0.9768737961700623,-0.029334120840390183,0.1620516603771392
2007-02-08,0.07552184592513143,0.11336998172813827,0.9769844147032374,-0.02992628754024339,0.1613987880129625
2007-02-09,0.07494055675379309,0.11232450416924453,0.977229165798291,-0.030113907969152264,0.1608832768704301
2007-02-12,0.07143967906793708,0.10875489876331251,0.9776838663516555,-0.029190247892131562,0.16232969892575852
2007-02-13,0.07283648005217339,0.11006680905357057,0.9775327638069377,-0.02411682642964903,0.16256758313177475
2007-02-14,0.07094754664955626,0.11043977947209634,0.9780805101882138,-0.0023645034882298897,0.16162433433051104
2007-02-15,0.07005892278792637,0.10988767985238287,0.9781622898482583,-0.002866473020940732,0.16188503082647296
2007-02-16,0.06888626204849255,0.10783192748206316,0.9786991608834384,-0.002876700921699904,0.16051989096168467
2007-02-27,0.06912199772312312,0.10628306235696963,0.9788617227794048,-0.0023200236647546984,0.16046932807960546
2007-02-28,0.07579060612829813,0.10787972961937616,0.9776796177678817,-0.0018069427552511457,0.16357581703627133
2007-03-01,0.07509999353647176,0.10815200398023518,0.9776201455377211,-0.0018685927814084296,0.16406856617190235
2007-03-02,0.07211895942019006,0.10302373256018343,0.9786035969537723,-0.001717968504505177,0.16284045822483068
2007-03-05,0.0733227954602599,0.10373150807176561,0.9784757109013201,-0.0015785700235271308,0.16262328613051746
2007-03-06,0.07265827791160585,0.10532254040024831,0.9778961923235513,-0.000941677639227689,0.1653665244748185
2007-03-07,0.07387515955048582,0.10554732985412925,0.9776682622956673,-0.0007914882998359362,0.16603121516177405
2007-03-08,0.0704453571557026,0.1025819212061795,0.9788995663154144,-0.0005861460835244684,0.16207929108037772
2007-03-09,0.06822787291081997,0.10001312005531408,0.9797708721116016,-5.981113651439443e-05,0.15934669045564373
2007-03-12,0.07118602226645286,0.10171400861023604,0.979267235476839,0.0002677148324326563,0.16007004884310422
2007-03-13,0.07060282582771583,0.10112004851140867,0.979299133789232,0.00011987318925403274,0.16050909308905578
2007-03-14,0.06954903631629007,0.1048656700071354,0.9780158371038733,0.0001394968704557307,0.16628627639123686
2007-03-15,0.0656164362967202,0.10617048951683838,0.9775574009179945,0.00041657230807713285,0.16971642472501222
2007-03-16,0.0653782041781094,0.10727769574583146,0.9771371251690769,0.00047553658173002427,0.17152259004335574
2007-03-19,0.06531877589761509,0.10723337064063011,0.9771175038432014,0.0003261518910678206,0.17168499947421728
2007-03-20,0.06560440732274808,0.10894847338350282,0.9767762900060367,0.0006417958439181387,0.1724353770760872
2007-03-21,0.06582234806215764,0.10924253228892947,0.976754780185588,0.0006529786323135178,0.1722880165252256
2007-03-22,0.0658544861208539,0.10895985123716348,0.976933797913718,0.0008403860981880545,0.17143682720237666
2007-03-23,0.0673152559757327,0.11060195655619619,0.9764629626072204,0.0013948857319918185,0.17249347949701824
2007-03-26,0.06985885655850198,0.11399677908572721,0.9759755730814184,0.001935958211783477,0.17202443818428192
2007-03-27,0.06653506696247134,0.1097374189866794,0.9763333347214311,-0.00029076357626664127,0.17408020768230165
2007-03-28,0.06588444323170385,0.11252587616421665,0.9749786395947369,0.0005714733874791684,0.18003747689213864
2007-03-29,0.06648698986140214,0.11345404740976195,0.974825363574717,0.000823030683662506,0.1800624682087519
2007-03-30,0.06468327523043199,0.11202436759539962,0.9752628397294579,0.001236503603848552,0.17924139999449426
2007-04-02,0.06398854923877052,0.11177620563570229,0.975078147213739,0.001418364315379786,0.1806436837780236
2007-04-03,0.06432198799248241,0.11220418848627081,0.9750845452336373,0.0025714886542651436,0.18021215008828956
2007-04-04,0.06554569985187876,0.11305820572094574,0.9747942141716296,0.0027416194906717843,0.18080466501219158
2007-04-05,0.06183063456224251,0.11025360481286099,0.9762168495299002,0.0015482747046844634,0.17612319777574503
2007-04-06,0.060817907942047035,0.10963033102667989,0.9763444558291801,0.0009126190757336649,0.17616198026412383
